ubicacion,nombre,telefono,direccion
"Ecuador, TUNGURAHUA, Ambato",Hotel Ambato,03-2421791,Guayaquil  y Rocafuerte s/n
"Ecuador, AZUAY, Cuenca",Hotel Atenas,07-2827016,Luis Cordero 11-89 y Sangurima Esq.
"Ecuador, GUAYAS, Milagro",Hotel Berlín,08-5970820,Km. 2 1/2 Vía al KM. 26
"Ecuador, SANTO DOMINGO DE LOS TSACHILAS, Santo Domingo",Hotel Caleta,02-2750277,Calle Ibarra 906 y Av 29 de Mayo
"Ecuador, CHIMBORAZO, Riobamba",Hotel Canadá,03-2946676,Av La Prensa 2331 y Av Daniel León Borja (Terminal Terrestre Riobamba)
"Ecuador, PICHINCHA, Quito",Hotel Cayman,02-2567616,Juan Rodríguez E7-29 y Reina Victoria
"Ecuador, AZUAY, Cuenca",Hotel Crespo,07-2842571,Calle Larga 7-93 y Luis Cordero
"Ecuador, AZUAY, Cuenca",Hotel Crespo,07-2842571,Calle Larga 7-93 y Luis Cordero
"Ecuador, AZUAY, Cuenca",Hotel Cuenca,07-2833711,A. Borrero 10-69 E/ Mariscal Lamar y G Colombia
"Ecuador, AZUAY, Cuenca",Hotel Cuenca,07-2833711,Borrero 10-69 y Lamar
"Ecuador, AZUAY, Cuenca",Hotel Cuenca,07-2833711,Borrero 10-69 y Gran Colombia
"Ecuador, AZUAY, Cuenca",Hotel Europa,07-2830493,Sangurima 2-55 y Tomás Ordóñez
"Ecuador, PICHINCHA, Quito",Hotel Hernán,02-2280386,Venezuela N2-37 y Bolívar
"Ecuador, LOS RIOS, Quevedo",Hotel Hilton,05-2750353,Calle Novena 433 y June Guzmán (Frente al IESS)
"Ecuador, MANABI, Bahía",Hotel Italia,05-2691137,Av Bolívar y Calle Checa Esquina (Bahia)
"Ecuador, MANABI, Portoviejo",Hotel Máximo,05-2636521,Av América y 5 de Junio
"Ecuador, LOJA, Loja",Hotel Ramsés,07-2571402,Colón 14-31 y Bolívar
"Ecuador, PICHINCHA, Quito",Hotel Rick's,02-2543276,Carrión E7-26 Y Reina Victoria
"Ecuador, GUAYAS, Guayaquil",Hotel Sander,04-2320030,Luque 1101 - 1103 y Pedro Moncayo
"Ecuador, TUNGURAHUA, Banos  Tungurahua",Hotel Sangay,03-2740490,Plazoleta Isidro Ayora - 100
"Ecuador, AZUAY, Cuenca",Hotel 4 Mundos,07-2837058,B Malo 10-70 E/ Lamar y Gran Colombia
"Ecuador, LOJA, Loja",Hotel Acapulco,07-2570651,SUCRE 07-61 Y 10 DE AGOSTO
"Ecuador, MANABI, San Vicente",Hotel Alcatraz,05-2674179,Malecón Km 1.5 Vía Canoa
"Ecuador, TUNGURAHUA, Baños Tungurahua",Hotel Alisamay,03-2741391,Eugenio Espejo y Juan León Mera (Baños - Tungurahua)
"Ecuador, PICHINCHA, Quito",Hotel Allegria,02-2683030,Av Tnte. Hugo Ortiz S25-247 y Cusubamba
"Ecuador, GUAYAS, Guayaquil",Hotel Andaluz,04-2311060,Baquerizo Moreno 840 y Junín
"Ecuador, SANTA ELENA, Salinas",Hotel Aragosta,04-2778720,Av Principal Diagonal al Estadio Camilo Gallegos Vía Salinas
"Ecuador, LOJA, Loja",Hotel Astoría,04-2710450,5 de Junio E/ Seminario y Bolívar
"Ecuador, ZAMORA CHINCHIPE, Guayzimi",Hotel Ayamtaic,07-3038713,Av Jorge Mosquera y Carlos Vélez
"Ecuador, PICHINCHA, Quito",Hotel Barnard,02-2540629,Av Queseras del Medio E11-205 y Av Colombia
"Ecuador, ESMERALDAS, Esmeraldas",Hotel Barracón,06-2712647,Av Olmedo 1502 y Rocafuerte
"Ecuador, ZAMORA CHINCHIPE, Zamora",Hotel Betania,07-2607030,Calle Francisco de Orellana y Av Amazonas
"Ecuador, AZUAY, Cuenca",Hotel Carvallo,07-2832063,Gran Colombia 9-52 y Benigno Malo
"Ecuador, GUAYAS, Guayaquil",Hotel Castell,04-2680190,Av Miguel H Alcívar y Calle Ulloa (Esq) (Frente al Parque Japones)
"Ecuador, SANTA ELENA, Salinas",Hotel Chipipe,04-2770550,Salinas Sector Chipipe
"Ecuador, SANTA ELENA, Santa Elena",Hotel Cisne II,04-2941572,Guayaquil entre Sucre y Manabí
"Ecuador, AZUAY, Cuenca",Hotel Coronel,07-2838108,Mariano Cueva 9-42 y Bolívar
"Ecuador, PICHINCHA, Quito",Hotel Cotopaxi,02-2442048,Av América N34-11 y Rumipamba
"Ecuador, EL ORO, Machala",Hotel Cumandá,07-2932135,Boyacá 822 E/ Páez y Juan Montalvo
"Ecuador, TUNGURAHUA, Baños Tungurahua",Hotel Danubio,03-2740426,Vicente Rocafuerte y Eloy Alfaro
"Ecuador, GUAYAS, Guayaquil",Hotel Del Rey,04-2455977,Aguirre y Andrés Marín
"Ecuador, GUAYAS, Guayaquil",Hotel Delicia,042324925,Clemente Ballén 1105 y Pío Montúfar
"Ecuador, AZUAY, Cuenca",Hotel El Cisne,07-2881655,Av de las Americas  y Av Amazonas
"Ecuador, AZUAY, Cuenca",Hotel El Cisne,07-2881655,Av. de Las Américas E/ Remigio Crespo y Amazonas
"Ecuador, ESMERALDAS, Atacames",Hotel Elicio's,06-2731258,"Barrio Nueva Granada, Calle Principal Atacames"
"Ecuador, LOS RIOS, Ventanas",Hotel Elisita,05-2971825,Abdón Calderón y Malecón
"Ecuador, PICHINCHA, Quito",Hotel Embassy,02-2561990,Wilson E8-22 y Av 6 de Diciembre
"Ecuador, AZUAY, Cuenca",Hotel Ensueños,07-2844961,Gran Colombia 1-82 y Huayna Cápac
"Ecuador, AZUAY, Cuenca",Hotel Ensueños,07-2844961,Gran Colombia 1-82 y Huayna Cápac
"Ecuador, ZAMORA CHINCHIPE, Zamora",Hotel Everlast,07-2627027,Calle Diego de Vaca y Luis Marquez
"Ecuador, MANABI, Puerto López",Hotel Fragata,05-2300156,Calle Eloy Alfaro y Malecón (Pto. López)
"Ecuador, GUAYAS, Guayaquil",Hotel Geminis,04-2451127,Ayacucho 1503 y Antepara Esq
"Ecuador, GUAYAS, Guayaquil",Hotel Huracan,042565667,Boyacá 702 y Padre Solano
"Ecuador, CHIMBORAZO, Riobamba",Hotel Imperial,03-2960429,Rocafuerte 22-15 y 10 de Agosto
"Ecuador, EL ORO, Arenillas",Hotel Imperial,07-2908795,Calle Guayaquil y Av Ing. Davila
"Ecuador, PICHINCHA, Quito",Hotel La Niña,02-2230472,La Niña E4-421 E/ Av Amazonas y Juan León Mera
